edad,sexo,comunidad,pais_nacimiento,situacion_prof,jornada_semanal,renta_cta_ajena,renta_cta_propia,anyo,ponderacion
48,Mujer,Catalunya,Espanya,asalariado,40,20217.2,0.0,2017,362.85372
17,Hombre,Catalunya,Espanya,, ,0.0,0.0,2017,370.58657
55,Hombre,Catalunya,Espanya,asalariado,40,11343.6,0.0,2017,470.56694000000005
26,Mujer,Catalunya,Espanya,asalariado, ,12870.1,0.0,2017,469.53943
17,Mujer,Catalunya,Espanya,, ,0.0,0.0,2017,469.8573
85,Mujer,Catalunya,Espanya,asalariado, ,0.0,0.0,2017,323.46105
40,Hombre,Catalunya,Espanya,Empleador,40,1037.3,-1275.2,2017,467.01088
42,Mujer,Catalunya,Espanya,asalariado,40,12583.9,0.0,2017,466.54027
36,Mujer,Catalunya,Espanya,ayuda familiar, ,0.0,0.0,2017,430.44673
34,Hombre,Catalunya,Espanya,asalariado, ,0.0,0.0,2017,438.95943
48,Mujer,Catalunya,Espanya,asalariado,40,11697.2,0.0,2017,437.76478
52,Hombre,Catalunya, ,, ,44861.8,0.0,2017,0.0
62,Mujer,Catalunya,Espanya,asalariado, ,0.0,0.0,2017,278.83047999999997
70,Mujer,Catalunya,Espanya,asalariado, ,0.0,0.0,2017,321.24393
73,Hombre,Catalunya,Espanya,asalariado, ,0.0,0.0,2017,317.65469
58,Mujer,Catalunya,Espanya,asalariado, ,0.0,0.0,2017,330.35442
59,Hombre,Catalunya,Espanya,asalariado,40,50552.1,0.0,2017,327.15174
28,Hombre,Catalunya,Espanya,asalariado,40,4457.8,0.0,2017,337.5934
74,Hombre,Catalunya,Espanya,asalariado, ,0.0,0.0,2017,144.24029
68,Mujer,Catalunya,Espanya,, ,0.0,0.0,2017,145.87009
46,Hombre,Catalunya,Espanya,asalariado,40,6616.5,0.0,2017,146.66834
18,Hombre,Catalunya,Espanya,, ,0.0,0.0,2017,150.74043999999998
17,Mujer,Catalunya,Espanya,, ,0.0,0.0,2017,147.20633999999998
76,Hombre,Catalunya,Espanya,asalariado, ,0.0,0.0,2017,399.39313
40,Hombre,Catalunya,Espanya,asalariado,30,7927.0,0.0,2017,400.87526
72,Mujer,Catalunya,Espanya,, ,0.0,0.0,2017,343.35414
42,Hombre,Catalunya,Espanya,asalariado,40,19380.4,0.0,2017,345.8188
79,Hombre,Catalunya,Espanya,asalariado, ,0.0,0.0,2017,426.75939000000005
